Dialog_ID,Type,Actor,Text,Label
hit:6240_conv:12481,utterance,speaker,My boss just bought a new boat.,jealous
hit:6240_conv:12481,utterance,listener,sweet.. do you have acces to it?,questioning
hit:6240_conv:12481,utterance,speaker,"No, I am so envious of him.",jealous
hit:6240_conv:12481,utterance,listener,oh yea so am i.,agreeing
hit:11307_conv:22615,situation,none,My sister went to the movie with my best friend instead of me.,jealous
hit:11307_conv:22615,utterance,speaker,"My sister took my best friend to the movie instead of me, I was really sad.",jealous
hit:11307_conv:22615,utterance,listener,That would make me sad too.  Was there any reason she took your friend and not you?,questioning
hit:11307_conv:22615,utterance,speaker,She was upset with me so to get back at me she did that.,angry
hit:11307_conv:22615,utterance,listener,"Lol, well thats rude! Hopefully you guys are better now!  Little grudges like that stink, I like to just put them behind me and move on.",consoling
hit:11307_conv:22615,utterance,speaker,I try to make peace with her but she is always angry so I let it be.,content
hit:2270_conv:4540,situation,none,My friend just bought a new sports car.  I really wish I could afford a sports car too.,jealous
hit:2270_conv:4540,utterance,speaker,My friend just bought a beautiful sports car,jealous
hit:2270_conv:4540,utterance,listener,That sounds fun.  What kind?,questioning
hit:2270_conv:4540,utterance,speaker,Miata.  I have wanted one of those for a very long time.,jealous
hit:2270_conv:4540,utterance,listener,Those are really cool looking,acknowledging
hit:1750_conv:3500,situation,none,I have always wanted a pair of Jordans. I hate seeing people wearing them.,jealous
hit:1750_conv:3500,utterance,speaker,U despise people who wear Jordans. Ive never had a pair.,jealous
hit:1750_conv:3500,utterance,listener,I've never had a pair either - but I don't despise them. Why do you feel so strongly?,neutral
hit:1750_conv:3500,utterance,speaker,"I wouldnt spend that much on a pair of shoes, but I would like to say that I could at least",suggesting
hit:1750_conv:3500,utterance,listener,Yeah - I don't see why someone would spend so much either.,agreeing
hit:1750_conv:3500,utterance,speaker,Its crazy right?,questioning
hit:1750_conv:3500,utterance,listener,Maybe we're just jealous!,suggesting
hit:1750_conv:3500,utterance,speaker,I definitely am!,agreeing
hit:1960_conv:3920,situation,none,when my sister got to go on vacation with my mom and i couldnt go,jealous
hit:1960_conv:3920,utterance,speaker,My sister got to go with my mom on vacation and i couldnt go.,jealous
hit:1960_conv:3920,utterance,listener,That's no fair! Where you left out on purpose?,questioning
hit:1960_conv:3920,utterance,speaker,"Im a little ""ah"" about it - i dont understand why they couldnt just wait for me to get a day off to go with them.",annoyed
hit:1960_conv:3920,utterance,listener,Yeah I would be upset about that too.,acknowledging
hit:9179_conv:18358,situation,none,Me and my friend bought some scratch off tickets and he won $100. I didnt win a single dollar. I was so annoyed.,jealous
hit:9179_conv:18358,utterance,speaker,My friend is so luck. We both bought some scratch off tickets and he won $100. I didnt win anything.,jealous
hit:9179_conv:18358,utterance,listener,Did he at least take you out to lunch with the winnings?,questioning
hit:9179_conv:18358,utterance,speaker,Not eve. I really wish it were me that won.,jealous
hit:9179_conv:18358,utterance,listener,Maybe you will win next time.,suggesting
hit:10306_conv:20613,situation,none,"My brother got such a nice Snowboard for his birthday when we were teenagers. I wanted one too, but didn't end up getting what I wanted.",jealous
hit:10306_conv:20613,utterance,speaker,"My brother got such a nice Snowboard for his birthday when we were teenagers. I wanted one too, but didn't end up getting what I wanted",jealous
hit:10306_conv:20613,utterance,listener,That doesn't sound like such a pleasurable memory. Maybe you received a gift your brother always secretly wish he had!,suggesting
hit:10306_conv:20613,utterance,speaker,"You know, he played it up like that, seemed really invested in the Bass guitar I got. He sure did enjoy the hell out of that snowboard, though.",impressed
hit:10306_conv:20613,utterance,listener,"You know what they say, the grass is always greener on the other side. Did you ever manage to get him to let you borrow his snowboard?",questioning
hit:10851_conv:21702,situation,none,I don't eat carbs but I am still fat :( how come i am the only one that have to pass through this ?,jealous
hit:10851_conv:21702,utterance,speaker,I don't eat carbs but I am still fat :( how come i am the only one that have to pass through this ?,jealous
hit:10851_conv:21702,utterance,listener,"I'm sorry to hear that. While diet is most of it, exercise can play a role too. How active is your lifestyle?",sympathizing
hit:10851_conv:21702,utterance,speaker,Yes I just feel jealous that I am not seeing any improvements in my weight loss program,jealous
hit:10851_conv:21702,utterance,listener,"I know it might seem like empty words from a stranger but just keep at it. Try as hard as you can to stay positive you will see results, trust me.",faithful
hit:3851_conv:7702,situation,none,I once caught my buddy kissing my girldfriend.,jealous
hit:3851_conv:7702,utterance,speaker,I walked in on my buddy and my girlfriend in each others arms,surprised
hit:3851_conv:7702,utterance,listener,Thats sucks,acknowledging
hit:3851_conv:7702,utterance,speaker,I was just hurt really.  How could I fall in love so easy.,devastated
hit:3851_conv:7702,utterance,listener,"If you did it that time, you can do it again. Just be careful",neutral
hit:3884_conv:7769,situation,none,I hate seeing people with loads of money. Its bad but I do,jealous
hit:3884_conv:7769,utterance,speaker,I don't like seeing people with lots of money.,jealous
hit:3884_conv:7769,utterance,listener,Why is that,questioning
hit:3884_conv:7769,utterance,speaker,Because I don't have any. Its bad but I can't help it.,ashamed
hit:3884_conv:7769,utterance,listener,I understand the feeling,agreeing
hit:3884_conv:7769,utterance,speaker,One day I want to spend freely like that,hopeful
hit:11756_conv:23513,situation,none,A big meteor landed in my neighbors yard and not mine,jealous
hit:11756_conv:23513,utterance,speaker,My neighbor is so luck,grateful
hit:11756_conv:23513,utterance,listener,"Oh yeah, what makes you say that?",questioning
hit:11756_conv:23513,utterance,speaker,lucky**    Because a large meteor landed over there on his property and he gets to keep it!!,jealous
hit:11756_conv:23513,utterance,listener,"What an incredible stroke of luck! I hope he lets you check it out, really get your hands on it!",encouraging
hit:11756_conv:23513,utterance,speaker,Yeah I just wanna go over there and touch it.  I doubt he'll let me though.  Dang that guy!,apprehensive
hit:8311_conv:16622,situation,none,I'm jealous with people who have a washer and dryer.  Going to the laundromat stinks!,jealous
hit:8311_conv:16622,utterance,speaker,I'm jealous with people who have a washer and dryer. Going to the laundromat stinks!,jealous
hit:8311_conv:16622,utterance,listener,I know. I just went yesterday!,agreeing
hit:8311_conv:16622,utterance,speaker,"It's such a hassle, would be nice just to walk into the other room and do it!",acknowledging
hit:8311_conv:16622,utterance,listener,I can't wait to move and have a hook up.,anxious
hit:10156_conv:20312,situation,none,"When I was younger, my best friend and I worked at the same company.  She got a promotion that we both wanted.  I'd been working there longer so it really stung.",jealous
hit:10156_conv:20312,utterance,speaker,"When I was younger, my best friend and I worked together.  She ended up getting the promotion that we both wanted.",jealous
hit:10156_conv:20312,utterance,listener,I am sorry that must have been tough.  She probably felt bad for you.,sympathizing
hit:10156_conv:20312,utterance,speaker,I'd been working there longer so it really stung.  Our friendship survived though!,neutral
hit:10156_conv:20312,utterance,listener,That is great because friendships are very important,acknowledging
hit:4628_conv:9257,situation,none,I felt envious over a friend last weekend. He bought a new home,jealous
hit:4628_conv:9257,utterance,speaker,I was envious last weekend over a friend. They bought a new home,jealous
hit:4628_conv:9257,utterance,listener,Oh was it a nice house?,questioning
hit:4628_conv:9257,utterance,speaker,Its a very nice house,acknowledging
hit:4628_conv:9257,utterance,listener,That's good for them then.  I hope you get to buy a new home too.,encouraging
hit:1908_conv:3817,situation,none,My parents always spoil my brother. He gets the coolest things for his birthday and I just get cards. They like him better.,jealous
hit:1908_conv:3817,utterance,speaker,My brother is so spoiled! My parents get him the coolest birthday presents!,proud
hit:1908_conv:3817,utterance,listener,My brother did too! He's the oldest so he got all the good stuff :(,neutral
hit:1908_conv:3817,utterance,speaker,All I ever get is a card. The obviously like him better.,jealous
hit:1908_conv:3817,utterance,listener,Aw :( I bet other people appreciate you a lot!,acknowledging
hit:10772_conv:21545,situation,none,"my best friend won the lottery and just got a bunch of money, and I didn't!",jealous
hit:10772_conv:21545,utterance,speaker,"well, my friend won the lottery",jealous
hit:10772_conv:21545,utterance,listener,your friend is probably one of the luckiest people on earth. how do you feel about it/,questioning
hit:10772_conv:21545,utterance,speaker,I'm green with envy! why does he get to win and I don't!!!,jealous
hit:10772_conv:21545,utterance,listener,"well, you know everything happens for a reason.",agreeing
hit:10772_conv:21545,utterance,speaker,"to make me mad, yeah! he better give me a bunch of it",angry
hit:7190_conv:14380,situation,none,my friend got my dream job,jealous
hit:7190_conv:14380,utterance,speaker,my friend got my dream job,jealous
hit:7190_conv:14380,utterance,listener,Dang that's annoying.  Is there anyway you can still get a similar job?,questioning
hit:7190_conv:14380,utterance,speaker,hopefully but im so envious of him,encouraging
hit:7190_conv:14380,utterance,listener,Yeah that's understandable.,acknowledging
hit:6057_conv:12114,situation,none,I was out at a bar and a saw my ex girlfriend that with another guy.  It still hurt seeing her with someone else even though we werent together,jealous
hit:6057_conv:12114,utterance,speaker,I hate when I let my emotions get the best of me.  Even when I have no reason to,ashamed
hit:6057_conv:12114,utterance,listener,Did something specific happen?,questioning
hit:6057_conv:12114,utterance,speaker,I was out at a bar this weekend and I saw my ex girlfriend with another guy.  It was still weird seeing her with someone else even though we arent toghether anymore and I shouldnt care,jealous
hit:6057_conv:12114,utterance,listener,"I think that can affect even the best of us, I wouldn't let it get you down.",sad
hit:4775_conv:9550,situation,none,I wanted a new dress. But my best friend bought the dress for herself.,jealous
hit:4775_conv:9550,utterance,speaker,Hi I am so mad at my friend.,angry
hit:4775_conv:9550,utterance,listener,What did they do?,questioning
hit:4775_conv:9550,utterance,speaker,They done bought this dress. The only dress that I wanted when we when on a shopping trip.,jealous
hit:4775_conv:9550,utterance,listener,Did they know that the dress you were wanting?,questioning
hit:4775_conv:9550,utterance,speaker,Yes!,agreeing
hit:4775_conv:9550,utterance,listener,Aw. I'm sorry. I'd say you have reason to be upset. I probably would be too.,sympathizing
hit:1853_conv:3707,situation,none,My friend just purchased a new BMW after getting a large bonus!  I want his cor so bad it hurts!,jealous
hit:1853_conv:3707,utterance,speaker,My friend just purchased a new BMW after getting a large bonus! I want his cor so bad it hurts!,jealous
hit:1853_conv:3707,utterance,listener,"That was some bonus. If you go to I think South carolina, they have a factory somewhere there and they are cheaper I think",impressed
hit:1853_conv:3707,utterance,speaker,That is good to know!  Maybe I could afford one then and not sit here wanting it so bad!,suggesting
hit:1853_conv:3707,utterance,listener,A friend got one used down there near Spartanburg.,impressed
hit:2788_conv:5577,situation,none,I always do my own hair. It never looks as good as my friends.,jealous
hit:2788_conv:5577,utterance,speaker,I can't afford to go to the salon.,ashamed
hit:2788_conv:5577,utterance,listener,That sucks,acknowledging
hit:2788_conv:5577,utterance,speaker,My friends hair always look better when we go out. I do my own hair.,jealous
hit:2788_conv:5577,utterance,listener,Save up some money for the salon then,hopeful
hit:2788_conv:5577,utterance,speaker,I think I'm going to get new friends. My hair looks fine theirs just looks better. Id rather spend that money on something else.,jealous
hit:9825_conv:19650,situation,none,My friend is getting a new truck tomorrow. I wanted it so bad,jealous
hit:9825_conv:19650,utterance,speaker,My friend is getting a new truck tomorrow. I wanted it so bad,jealous
hit:9825_conv:19650,utterance,listener,Aww dangit!  Maybe he'll let you drive it,suggesting
hit:9825_conv:19650,utterance,speaker,"I hope so, I would love that",encouraging
hit:9825_conv:19650,utterance,listener,And then just keep driving and don't take it back lol,neutral
hit:1342_conv:2685,situation,none,I wish I was a musican.,jealous
hit:1342_conv:2685,utterance,speaker,I wish I was a musician.,jealous
hit:1342_conv:2685,utterance,listener,I sadly have no musical skill.  Do you think you will ever become a musician?,disappointed
hit:1342_conv:2685,utterance,speaker,"No, I have no music skills either.",agreeing
hit:1342_conv:2685,utterance,listener,What part of being a musician appeals to you?,questioning
hit:2529_conv:5058,situation,none,My daughter got a new suv a few months ago. It was the exact one that I had been wanting. Ever since then it has made me want one even more.,jealous
hit:2529_conv:5058,utterance,speaker,I have been wanting a new suv and a few months ago my daughter went and bought exactly what I had been wanting.,impressed
hit:2529_conv:5058,utterance,listener,"Nice, what SUV?",questioning
hit:2529_conv:5058,utterance,speaker,I have been wanting a traverse. We need more room for our family. It has made me want one even more since then.,jealous
hit:2529_conv:5058,utterance,listener,I need to google that. Is it a big SUV?,questioning
hit:11447_conv:22894,situation,none,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,jealous
hit:11447_conv:22894,utterance,speaker,"When I was in middle school, my older sister went to college, and I saw her dorm after she moved in.",jealous
hit:11447_conv:22894,utterance,listener,What was it like I have always wanted to live in a dorm and go to colledge?,questioning
hit:11447_conv:22894,utterance,speaker,It was so cool. I really wanted to go to college just like her.,acknowledging
hit:11447_conv:22894,utterance,listener,Well you should have why didn't you?,questioning
hit:11447_conv:22894,utterance,speaker,"I was still in middle school! I wasn't old enough, but I really wished I could be there.",jealous
hit:7173_conv:14346,situation,none,My dad forgot to pick me up today because he has found new friends,jealous
hit:7173_conv:14346,utterance,speaker,My dad forgot to pick me up today after school,annoyed
hit:7173_conv:14346,utterance,listener,that sucks,acknowledging
hit:7173_conv:14346,utterance,speaker,"Yes, specially because he just forgot",agreeing
hit:7173_conv:14346,utterance,listener,yea i would be sad,acknowledging
hit:7013_conv:14027,situation,none,I have a really good friend that is just the sweetest person.  But she lives in basically a mansion and that's hard sometimes.,jealous
hit:7013_conv:14027,utterance,speaker,I have a really good friend that is just the sweetest person.,caring
hit:7013_conv:14027,utterance,listener,"Oh, that is the best. It's so nice to have a great friend.",acknowledging
hit:7013_conv:14027,utterance,speaker,"She really is, but she lives in basically a mansion - so that's hard sometimes - I get a bit embarrassed when she comes over to our house.",embarrassed
hit:7013_conv:14027,utterance,listener,I can see that. But she loves you for you and not for what you can afford.,neutral
hit:8260_conv:16520,situation,none,Three of my friends are due to have babies and I still haven't been able to get pregnant.  I don't understand how they get pregnant so easily and nothing is wrong with me.,jealous
hit:8260_conv:16520,utterance,speaker,Three of my friends are due to have babies and I still haven't been able to get pregnant. I don't understand how they get pregnant so easily and nothing is wrong with me.,jealous
hit:8260_conv:16520,utterance,listener,I understand how you feel.  My sister struggled to get pregnant. She did invitro twice.,agreeing
hit:8260_conv:16520,utterance,speaker,I'm on my 5th cycle of invitro.  Did she have a baby?,questioning
hit:8260_conv:16520,utterance,listener,The first one didn't work. Apparently the second one did.... but that's supposed to be a secret for now.  She's supposed to surprise me and my father with shirts....  my mom is a loud mouth and spilled the beans though.,disappointed
hit:8260_conv:16520,utterance,speaker,Congratulations to her!  That gives me hope.  You hear so many kinds of stories.  That sounds like such fun!  I don't be telling my mom either until we're ready. ha ha.,wishing
hit:8260_conv:16520,utterance,listener,Yeah.  Apparently she's just as bad as my sisters's Mother in law.  She spent a good amount of time complaining about it.,annoyed
hit:640_conv:1281,situation,none,I sometimes feel jealous when other guys talk to my girlfriend.,jealous
hit:640_conv:1281,utterance,speaker,I find it frustrating when jealousy kicks in.,annoyed
hit:640_conv:1281,utterance,listener,"Jealousy is the root of hatred,too bad",sad
hit:640_conv:1281,utterance,speaker,It consumes me especially when my girlfriend and I go out.,guilty
hit:640_conv:1281,utterance,listener,Why will u be consumed?,questioning
hit:5540_conv:11081,situation,none,my sister just got a new car. Its really nice but I want one too,jealous
hit:5540_conv:11081,utterance,speaker,My sister just got a new car,jealous
hit:5540_conv:11081,utterance,listener,That's awesome. What kind of car.,acknowledging
hit:5540_conv:11081,utterance,speaker,"a yukon. it really nice, but I have had my car for forever and I really envy her right now",jealous
hit:5540_conv:11081,utterance,listener,That is a nice car!,acknowledging
hit:5540_conv:11081,utterance,speaker,it is,acknowledging
hit:1117_conv:2234,situation,none,"My friend recently had a child, got married and bought a house. I'm still single with no kids, living in an apartment.",jealous
hit:1117_conv:2234,utterance,speaker,"My friend recently had a child, got married and bought a house. I'm still single with no kids, living in an apartment.",jealous
hit:1117_conv:2234,utterance,listener,Is that good or bad?,questioning
hit:1117_conv:2234,utterance,speaker,I think it's bad. It makes me a bit envious. Or like I'm not doing as well as I should be.,jealous
hit:1117_conv:2234,utterance,listener,Find a new roomate?,questioning
hit:8627_conv:17254,situation,none,"It seems everyone in my family has a big house, except us.  It bothers me sometimes but then I also realize that we don't have the debt they all have either.",jealous
hit:8627_conv:17254,utterance,speaker,"It seems everyone in my family has a big house, except us.",jealous
hit:8627_conv:17254,utterance,listener,"Eh, you'll get there eventually. Besides, big houses aren't even that great! All you need is a moderate amount of space to live comfortably.",neutral
hit:8627_conv:17254,utterance,speaker,"Well, it does bother me sometimes, but then I also realize we don't have the debt they have eihter.",neutral
hit:8627_conv:17254,utterance,listener,And that's the best part. Many of those folks with nice houses have mountains of debt. It causes a lot of stress.,jealous
