Dialog_ID,Type,Actor,Text
hit:7379_conv:14758,utterance,listener,Oh great! Hopefully a nice chunk of change :)
hit:11172_conv:22345,situation,none,My son is in the National Guard. He has made it all the way to Sargent.
hit:11172_conv:22345,utterance,speaker,My son is amazing! He's been in the National Guard for 9 years and is a Sargent now.
hit:11172_conv:22345,utterance,listener,Wow!! That is amazing! Good for him. You must be really proud and you have every right to be! :)
hit:11172_conv:22345,utterance,speaker,"Yes, I am. He is an awesome son."
hit:11172_conv:22345,utterance,listener,I bet he is! :)
hit:12401_conv:24802,situation,none,My 5 year old son is already reading! He picked up on it so fast!
hit:12401_conv:24802,utterance,speaker,My 5 year old son is already reading! He picked up on it so fast!
hit:12401_conv:24802,utterance,listener,"That is awesome, I was an early reader as well! That is a great accomplishment!!"
hit:12401_conv:24802,utterance,speaker,My daughter was also but I didn't want to put any pressure on him since all kids are so different and it didn't matter.  But he astounded me and loves reading and writing.
hit:12401_conv:24802,utterance,listener,I hope they both keep the love for reading and writing!
hit:296_conv:592,situation,none,Our family is getting together for our family reunion next weekend. Im' glad that we are all still coming together since we didn't have one last year.
hit:296_conv:592,utterance,speaker,We are having our family reunion this weekend. It should be a lot of fun
hit:296_conv:592,utterance,listener,I love family reunions.
hit:296_conv:592,utterance,speaker,I'm gald we are doing it because we didn't have one last year. I proud that we can overcome our difference and hang out.
hit:296_conv:592,utterance,listener,Thats great. Where did you meet?
hit:296_conv:592,utterance,speaker,My dad's side of my family.
hit:296_conv:592,utterance,listener,That's great. Where did you meet?
hit:6222_conv:12444,situation,none,I was happy to see that my son got perfect attendance for the entire school year
hit:6222_conv:12444,utterance,speaker,I was happy to see that my son got perfect attendance for the entire school year
hit:6222_conv:12444,utterance,listener,That is amazing!! I bet you are so proud!
hit:6222_conv:12444,utterance,speaker,yes he didnt make a fuss a single day
hit:6222_conv:12444,utterance,listener,"That sounds like a really great kid, your doing a fantastic job!!"
hit:7580_conv:15161,situation,none,I made an amazing pizza the other day
hit:7580_conv:15161,utterance,speaker,I made an amazing pizza the other day
hit:7580_conv:15161,utterance,listener,What kind of pizza?
hit:7580_conv:15161,utterance,speaker,It was a detroit style with 3 cheeses and tomato and garlic sauce. Mmmm
hit:7580_conv:15161,utterance,listener,I prefer Chicago Deep Dish Pizza.
hit:7580_conv:15161,utterance,speaker,I've never tried to make that - but it looks nice.
hit:6445_conv:12890,situation,none,My sister just got a new job after working for it so hard. I am happy for her.
hit:6445_conv:12890,utterance,speaker,So my sister just told me she got a new job she has been working hard for.
hit:6445_conv:12890,utterance,listener,What good news! You must be very proud of her.
hit:6445_conv:12890,utterance,speaker,"Yes, I really am. I think she deserves it!"
hit:6445_conv:12890,utterance,listener,That's great that you can celebrate her success so wholeheartedly! You are a good sibling.
hit:4485_conv:8971,situation,none,Nephew starts football this year
hit:4485_conv:8971,utterance,speaker,My nephew starts football this year in 9th grade
hit:4485_conv:8971,utterance,listener,IS he any good
hit:4485_conv:8971,utterance,speaker,Yeah he was pretty good last year.  Biggest kid on the team so they made him a center.  Interested to see how he does this year.  I bet he does great!
hit:4485_conv:8971,utterance,listener,My son is too small now. We tried the community league last year
hit:4485_conv:8971,utterance,speaker,Oh cool!  How did he do??
hit:3305_conv:6610,situation,none,My son said his first words the other day.
hit:3305_conv:6610,utterance,speaker,My son said his first words the other day/
hit:3305_conv:6610,utterance,listener,"Really? That's amazing, what words?"
hit:3305_conv:6610,utterance,speaker,He said truck.
hit:3305_conv:6610,utterance,listener,"That's really exciting, I'm happy for you."
hit:4582_conv:9165,situation,none,I feel proud of myself when I reach a new milestone.
hit:4582_conv:9165,utterance,speaker,I feel proud of myself when I reach a new milestone
hit:4582_conv:9165,utterance,listener,thats great you should feel proud
hit:4582_conv:9165,utterance,speaker,I set a target of getting my first victory royale on fortnite and achieved it. Now I have 18.
hit:4582_conv:9165,utterance,listener,thats pretty sweet
hit:3587_conv:7175,situation,none,I finally got my CCNA certificatoin.
hit:3587_conv:7175,utterance,speaker,I finally got my CCNA certification.
hit:3587_conv:7175,utterance,listener,oh that sounds good
hit:3587_conv:7175,utterance,speaker,I hope to put it to use soon.
hit:3587_conv:7175,utterance,listener,ya you should and you be proud of your achievement
hit:992_conv:1984,situation,none,My son finally passed his swim class.
hit:992_conv:1984,utterance,speaker,"After having to retake the class twice, my son finally passed his swimming test and can move on to the next level!"
hit:992_conv:1984,utterance,listener,"Thats awesome! Im glad you persisted because that is so important these days, not being able to swim is a real danger!"
hit:992_conv:1984,utterance,speaker,It is and he had some struggles at first but I'm glad he stuck to it as well! He could have easily given up and put up a fight about continuing to attend class!
hit:992_conv:1984,utterance,listener,"Yes, sounds like your doing a great job with the little guy!"
hit:2623_conv:5247,situation,none,I managed to get a new job after months of hard searching.
hit:2623_conv:5247,utterance,speaker,I feel very good about myself now.
hit:2623_conv:5247,utterance,listener,I'm happy to hear that
hit:2623_conv:5247,utterance,speaker,"Thanks. I think it was a long time coming, so I am happy with the outcome."
hit:2623_conv:5247,utterance,listener,You must've worked hard to get there
hit:5038_conv:10076,situation,none,"I was really happy when my wife decided to quit her job.  It was a bad job for her credentials, and I thought it was really cool of her to start her own practice."
hit:5038_conv:10076,utterance,speaker,"My wife took a real plunge the other day, she quit her job and decided to start a practice of her own!"
hit:5038_conv:10076,utterance,listener,What kind of practice is it? That takes a lot of guts!
hit:5038_conv:10076,utterance,speaker,"It's a counseling practice, but yeah she quit her job to do it so I thought it was really cool she had the balls to do it!"
hit:5038_conv:10076,utterance,listener,"Not literally of course, lol. Good for her, I am sure she will do fine!"
hit:5038_conv:10076,utterance,speaker,Yeah I sure hope not literally... Otherwise she has some explaining to do.
hit:3422_conv:6844,situation,none,I got a promotion at work.
hit:3422_conv:6844,utterance,speaker,So I got a big promotion at work. My hard work paid off!
hit:3422_conv:6844,utterance,listener,I am happy for you
hit:3422_conv:6844,utterance,speaker,"Thanks, I am really proud of myself and will celebrate now."
hit:3422_conv:6844,utterance,listener,That sounds fun
hit:10898_conv:21796,situation,none,My brother was addicted to drugs for ten years . This year he went to rehab and has had 7 months sober send drug free. Everyone doubted he would clean his act up but I new he could do it.
hit:10898_conv:21796,utterance,speaker,Have you ever had a family member everyone else doubted all the time.
hit:10898_conv:21796,utterance,listener,"Sometimes I'm worried that I'm that family member, but I'm not sure what to do to make them have confidence in me."
hit:10898_conv:21796,utterance,speaker,M y brother was addicted to drugs for ten years biut this years he cleanded his act up and has been sober for 7 months. I knew he could do it.
hit:10898_conv:21796,utterance,listener,I'm happy that your brother is in sobriety now. I hope his life recovers.
hit:6207_conv:12414,situation,none,I was able to get my finances under control and have paid off some debts.
hit:6207_conv:12414,utterance,speaker,I was able to get my finances under control and have paid off some debts. A huge undertaking but I was determined!
hit:6207_conv:12414,utterance,listener,That's awesome. Definitely a burden lifted off your shoulders!
hit:6207_conv:12414,utterance,speaker,"It has been, I feel free!"
hit:6207_conv:12414,utterance,listener,I still have quite a few student loans to pay.
hit:900_conv:1800,situation,none,a situation where I felt proud is when i was able to graduate from college
hit:900_conv:1800,utterance,speaker,hi
hit:900_conv:1800,utterance,listener,"You should read the instructions before you start.. You need to work off the prompts.. But hello,"
hit:900_conv:1800,utterance,speaker,did you go ot college
hit:900_conv:1800,utterance,listener,"Yes. I did go to college, but I did not complete it."
hit:900_conv:1800,utterance,speaker,I went to college a couple of years ago and graduated overall it was a good experience for me
hit:4132_conv:8265,situation,none,My son has been cleaning up after himself without being asked!
hit:4132_conv:8265,utterance,speaker,"My son has been cleaning up after himself without being asked, it's been such a joy to see him take initiative!"
hit:4132_conv:8265,utterance,listener,wow i wish i could get my kids to do that. congrats
hit:4132_conv:8265,utterance,speaker,"It's been a long time coming, that's for sure."
hit:4132_conv:8265,utterance,listener,well it seems like he is starting out to become a productive person in life
hit:4132_conv:8265,utterance,speaker,I'm excited to see what he becomes!
hit:4520_conv:9040,situation,none,One of my friends seemed like one of the last people to get a girlfriend in the friend group. Instead he turned out to be one of the first.
hit:4520_conv:9040,utterance,speaker,One of my friends just got a girlfriend and it was really surprising that he would get one before the rest of us.
hit:4520_conv:9040,utterance,listener,Why were you surprised? Is he shy?
hit:4520_conv:9040,utterance,speaker,He's pretty shy and also because he is just not great with women overall.
hit:4520_conv:9040,utterance,listener,Some girls like a certain type. Or maybe it was written in the stars.
hit:5407_conv:10815,situation,none,when i got the job i always wanted
hit:5407_conv:10815,utterance,speaker,I got one of the jobs I have been wanting for years.
hit:5407_conv:10815,utterance,listener,"That is great I am so happy for you, what industry are you in?"
hit:5407_conv:10815,utterance,speaker,I do sales work! Not the best but pays the bills!
hit:5407_conv:10815,utterance,listener,"Thats all that matters, and your happiness"
hit:4744_conv:9489,situation,none,"My niece made the cheerleading squad. It made me so happy to be her aunt, and so happy for her."
hit:4744_conv:9489,utterance,speaker,My niece made the cheerleading squad.
hit:4744_conv:9489,utterance,listener,Congratulations! Thats awesome!
hit:4744_conv:9489,utterance,speaker,Thank you! It made me so happy to be her aunt!
hit:4744_conv:9489,utterance,listener,I bet! I would be the same If i had a niece
hit:12285_conv:24571,situation,none,"Spent a lot of my saturday organizing and cleaning my room. There's no better feeling that knowing you accomplished an errand you were supposed to do, and getting to enjoy clean space after your hard work."
hit:12285_conv:24571,utterance,speaker,"Spent a lot of my saturday organizing and cleaning my room. There's no better feeling that knowing you accomplished an errand you were supposed to do, and getting to enjoy clean space after your hard work."
hit:12285_conv:24571,utterance,listener,"That's wonderful! You're right, it is so rewarding to stand back and see everything clean once you are done."
hit:12285_conv:24571,utterance,speaker,"Yeah, it's kind of a shame my roommate isn't the cleanest. So, when I bother to clean the other areas of the apartment, it kind of goes to waste. But at least I can kind of keep up my own little domain and use it as a retreat from the rest of the place."
hit:12285_conv:24571,utterance,listener,"Right, that's something you can at least have full control over. Your own humble abode."
hit:7751_conv:15502,situation,none,My daughter just played her first soccer game and did really well.  She did great!
hit:7751_conv:15502,utterance,speaker,My daughter just played her first soccer game and did really well. She did great!
hit:7751_conv:15502,utterance,listener,You must be proud.  Did her team win the game?
hit:7751_conv:15502,utterance,speaker,"I really was, and yes they did win, 3-1!"
hit:7751_conv:15502,utterance,listener,Impressive.   Is she looking forward to her next game?
hit:6853_conv:13706,situation,none,My daughter applied for an internship over the summer all on her own and got it!
hit:6853_conv:13706,utterance,speaker,My 14 year old daughter applied for an internship all m herself for over the summer
hit:6853_conv:13706,utterance,listener,"Wow, that is impressive, I could not do that at that age"
hit:6853_conv:13706,utterance,speaker,She got it too. She was able to work at the schools summer camp and get a free week of camp herself!
hit:6853_conv:13706,utterance,listener,"Wow, she has a bright future ahead of her if that is the case"
hit:6853_conv:13706,utterance,speaker,I hope so!
hit:7354_conv:14709,situation,none,My brother is getting married. I am so happy for him
hit:7354_conv:14709,utterance,speaker,My brother is getting married. I am so happy for him
hit:7354_conv:14709,utterance,listener,"Thats awesome, are you in the wedding?"
hit:7354_conv:14709,utterance,speaker,"I am not, I did not want to jinx it"
hit:7354_conv:14709,utterance,listener,"Well, atleast you will be happy for him and there."
hit:2566_conv:5133,situation,none,I remember the first time I brought home a report card with all A's on it. I never felt more proud.
hit:2566_conv:5133,utterance,speaker,"You ever get all A's back in highschool? I remember the first time I did, the looks on my parents faces."
hit:2566_conv:5133,utterance,listener,"Wow, you must have done lots of reading then? i dont get As all the time"
hit:2566_conv:5133,utterance,speaker,"Yeah, it was a lot of hardwork but it was worth it to blow away my teachers and family."
hit:2566_conv:5133,utterance,listener,thats great. They now have confidence in you
hit:3773_conv:7547,situation,none,"My oldest daughter was in her school's running club, and nothing beat the feeling of watching her win her first race."
hit:3773_conv:7547,utterance,speaker,"My oldest daughter was in a running club at her school, and she won her very first race."
hit:3773_conv:7547,utterance,listener,That's awesome! How far did she have to run?
hit:3773_conv:7547,utterance,speaker,"It was only a mile, but that's not bad for a 5th grader.  Still, she did excellent, and a lot better than the other kids."
hit:3773_conv:7547,utterance,listener,I definately can't run a mile. She did great.
hit:8271_conv:16543,situation,none,I just started learning to rock climb at a local indoor climbing facility near me and finally got to the top of the tallest wall!
hit:8271_conv:16543,utterance,speaker,I just started learning to rock climb at a local indoor climbing facility near me and finally got to the top of the tallest wall!
hit:8271_conv:16543,utterance,listener,"Wow, thats so cool! I wish i could rock climb."
hit:8271_conv:16543,utterance,speaker,I have struggled with chronic pain for over 13 years and almost died from my autoimmune condition.  I decided I would fight and work my way to do things I would never do.  This was one of them.
hit:8271_conv:16543,utterance,listener,I can understand that. I have MS so I'm no stranger to autoimmune diseases.
hit:3099_conv:6199,situation,none,My son finished 6th grade on the honor roll.
hit:3099_conv:6199,utterance,speaker,I'm so proud of my son who just finished 6th grade.
hit:3099_conv:6199,utterance,listener,"Wow! 6th grade, that's amazing. Are you planning on celebrating?"
hit:3099_conv:6199,utterance,speaker,He finished on the A honor roll. We actually went to Dave and Buster's today.
hit:3099_conv:6199,utterance,listener,Fun! He must be really passionate about learning
hit:3099_conv:6199,utterance,speaker,Yes he really does enjoy. He's always telling me about stuff he's learned.
hit:3099_conv:6199,utterance,listener,"That's really special, and a great attitude to have"
hit:3099_conv:6199,utterance,speaker,Yeah he does pretty well. He's a good kid.
hit:3099_conv:6199,utterance,listener,Looks like the future is bright for him
hit:7104_conv:14209,situation,none,My son took his first steps.
hit:7104_conv:14209,utterance,speaker,My son took his first steps.
hit:7104_conv:14209,utterance,listener,thats so cool.
hit:7104_conv:14209,utterance,speaker,"Yes, I got it on video also."
hit:7104_conv:14209,utterance,listener,"thats great, happy for you"
hit:5340_conv:10681,situation,none,when my daughter graduated
hit:5340_conv:10681,utterance,speaker,"My daughter graduated over the summer, and I felt a sense of accomplishment for her."
hit:5340_conv:10681,utterance,listener,Oh that's great. Is she going to  collge?
hit:5340_conv:10681,utterance,speaker,Yes she is starting up in a few weeks! :)
hit:5340_conv:10681,utterance,listener,What does she want to do?
hit:1401_conv:2803,situation,none,I scored really high on my SATs. I should be able to get into the college I want to go to. I am so happy with my score.
hit:1401_conv:2803,utterance,speaker,I worked really hard at studying for the SAT. I just got my scores back and I scored really high. It made my parents happy.
hit:1401_conv:2803,utterance,listener,Wonderful! Congratulations! What are you going in too college for?
hit:1401_conv:2803,utterance,speaker,Im going to study Finance. It just goes to show that if you put your mind to it you can achieve anything.
hit:1401_conv:2803,utterance,listener,You sure can! Hard work is required to get something of value.
hit:1152_conv:2304,situation,none,"My son scored ""Advanced"" in every subject on his SAT test. It made me feel very proud."
hit:1152_conv:2304,utterance,speaker,"My son recently scored ""Advanced"" in every subject on his LEAP test in third grade. I'm so proud of him."
hit:1152_conv:2304,utterance,listener,That's awesome! Gotta take credit for those genes haha
hit:1152_conv:2304,utterance,speaker,"I joke with my wife and say he got those genes from me! But of course, she knows I think she's smart too."
hit:1152_conv:2304,utterance,listener,haha that's cool...always good to have the best of both worlds
hit:1152_conv:2304,utterance,speaker,"I'm just hoping he can continue with the good grades as he progresses up. I have confidence in him, though."
hit:3840_conv:7681,situation,none,I just got a new job and have been making enough to pay bills. Feels nice not to go add more debt.
hit:3840_conv:7681,utterance,speaker,I just got a new job and have been making enough to pay bills. Feels nice not to go add more debt
hit:3840_conv:7681,utterance,listener,The feeling of financial freedom is one that is hard to match.
hit:3840_conv:7681,utterance,speaker,It definitely is. I'm working hard to get it and hopefully won't have to worry about it again some time in my life.
hit:3840_conv:7681,utterance,listener,I personally struggle with that every day.
hit:980_conv:1961,situation,none,that i made a nice meal. from homemade
hit:980_conv:1961,utterance,speaker,I made an authentic peruvian dish the other day. it was awesome!
hit:980_conv:1961,utterance,listener,I love peruvian food! What did you make?
hit:980_conv:1961,utterance,speaker,I made lomo saltado ( i hope i spelled that right lol ) it turned out great. i love south american food
hit:980_conv:1961,utterance,listener,That green sauce with the cilantro and the jalepenos is the best! What is lomo?
hit:980_conv:1961,utterance,speaker,"Its steak strips, with ajis onions peppers tomatoes.. almost like a stir fry but better!"
hit:980_conv:1961,utterance,listener,"Yum! I have all the ingredients for the chicken, I might make that now instead of the bbq chicken, thanks for the idea."
hit:1431_conv:2863,situation,none,"I never liked exercising, but I've finally got to exercising for a good month straight."
hit:1431_conv:2863,utterance,speaker,"I never liked exercising, but I've finally got to exercising for a good month straight"
hit:1431_conv:2863,utterance,listener,"That's great!  I've been meaning to, but haven't had the time."
hit:1431_conv:2863,utterance,speaker,"Yea, me too. I just had to make time and feel a lot better for it."
hit:1431_conv:2863,utterance,listener,Have you lost any weight over ht epast month?
hit:9991_conv:19982,situation,none,My son said his first word today. I was filled with pride.
hit:9991_conv:19982,utterance,speaker,My son said his first word today!
hit:9991_conv:19982,utterance,listener,Awesome!!! What was the word?
hit:9991_conv:19982,utterance,speaker,"It was ""Donald Trump""! I couldn't believe my liberal ears!"
hit:9991_conv:19982,utterance,listener,"Holy cow!  Why didn't he say Bernie Sanders ""match me""!?"
hit:3999_conv:7999,situation,none,I was kind of happy with myself tonight. I ate really healthy
hit:3999_conv:7999,utterance,speaker,I was happy with myself tonight. I ate really healthy
hit:3999_conv:7999,utterance,listener,"That's great! It's hard to do that sometimes, especially on the weekends!"
hit:3999_conv:7999,utterance,speaker,Yeah it really is
hit:3999_conv:7999,utterance,listener,I'm proud of you for sticking to it!
hit:4322_conv:8644,situation,none,My grandson took his first steps the other day. Can you believe it?
hit:4322_conv:8644,utterance,speaker,My grandson took his first steps the other day. Can you believe it?
hit:4322_conv:8644,utterance,listener,Oh that is fantastic!!!  I bet you're proud of him!
hit:4322_conv:8644,utterance,speaker,"Yes, I caught it on video. I plan to let him see it when he gets older."
hit:4322_conv:8644,utterance,listener,That's pretty cool!  You sound like an awesome grandparent! :D
hit:9123_conv:18246,situation,none,I just got my grades back and I got an A this semester in everything.
hit:9123_conv:18246,utterance,speaker,I just got my grades in from last semester and I got an A in every class!
hit:9123_conv:18246,utterance,listener,You must be a great student!
hit:9123_conv:18246,utterance,speaker,Thanks! I really tried my hardest this last time.
hit:9123_conv:18246,utterance,listener,I wish you more success in your education.
hit:12197_conv:24395,situation,none,My son struggled all through school with his grades. This year he will graduating and going off to college.
hit:12197_conv:24395,utterance,speaker,My son struggled all through school with his grades.
hit:12197_conv:24395,utterance,listener,That's unfortuante. I bet he is good now
hit:12197_conv:24395,utterance,speaker,He is. He will be graduating this year and going off to college.
hit:12197_conv:24395,utterance,listener,What university or college?
hit:5775_conv:11550,situation,none,I was proud of a pizza I made yesterday
hit:5775_conv:11550,utterance,speaker,I made a great pizza last night
hit:5775_conv:11550,utterance,listener,how did it come out?
hit:5775_conv:11550,utterance,speaker,Amazing!
hit:5775_conv:11550,utterance,listener,what did you put on it?
hit:5775_conv:11550,utterance,speaker,Just cheese and tomato. 3 different cheeses.
hit:11732_conv:23465,situation,none,My son just took his first steps to start walking.
hit:11732_conv:23465,utterance,speaker,My son just started to take his first steps.
hit:11732_conv:23465,utterance,listener,Wow! That's amazing. I remember when mine started. It's off to the races soon!
hit:11732_conv:23465,utterance,speaker,"That is the truth, we will be chasing him soon."
hit:11732_conv:23465,utterance,listener,Two words of advice... baby gates :)
hit:5220_conv:10441,situation,none,"My friend is a single mom, works full-time and goes to school fulltime."
hit:5220_conv:10441,utterance,speaker,"My friend is a single mom, works full-time and goes to school fulltime."
hit:5220_conv:10441,utterance,listener,She seems work hard
hit:5220_conv:10441,utterance,speaker,"She is a hard worker. Her husband passed away suddenly, and she's working hard to support the family."
hit:5220_conv:10441,utterance,listener,That is sad
hit:11220_conv:22440,situation,none,My son graduated first in the class from his Army recruiting school. He has been in the army for 5 years now.
hit:11220_conv:22440,utterance,speaker,My son is in the Army and recently he graduated first in the class from recruiting school at Ft. Knox.
hit:11220_conv:22440,utterance,listener,"That is awesome! I am so proud of your son, you should be proud as well."
hit:11220_conv:22440,utterance,speaker,"Yes, I am. He was such a slacker in high school, but now he is thriving."
hit:11220_conv:22440,utterance,listener,I can just imagine how you feel. It is so nice when our kids make us proud.
hit:670_conv:1340,situation,none,I just finished my first 5K
hit:670_conv:1340,utterance,speaker,I can't believe I just finished my first running race!
hit:670_conv:1340,utterance,listener,"Well done, you must be very proud of yourself."
hit:670_conv:1340,utterance,speaker,"Yes, I am.  About 3 months ago I couldn't run for a minute."
hit:670_conv:1340,utterance,listener,"Well done, great job."
hit:7925_conv:15851,situation,none,My first and only child just graduated from high school. He is now off to college to to great things!
hit:7925_conv:15851,utterance,speaker,My only child just graduated high school.
hit:7925_conv:15851,utterance,listener,Oh wow I bet you were really proud?
hit:7925_conv:15851,utterance,speaker,Yes I was! And now he is off to college to do great things!
hit:7925_conv:15851,utterance,listener,I'm sure he will! Best of luck to him!
hit:13_conv:27,situation,none,I felt proud when I had accomplished a dream that I wanted to do for a long time.
hit:13_conv:27,utterance,speaker,I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!
hit:13_conv:27,utterance,listener,"I'm not familiar with abseiling, but I'm glad that you felt good about it."
hit:13_conv:27,utterance,speaker,"absailing, its when you rappeling down a building. What have you down that amazing?"
hit:13_conv:27,utterance,listener,"Oh, I see. No, I've never done that."
hit:13_conv:27,utterance,speaker,so what have you done?
hit:3421_conv:6843,situation,none,to best worker
hit:3421_conv:6843,utterance,speaker,how important is your work to you
hit:3421_conv:6843,utterance,listener,I do love to work
hit:3421_conv:6843,utterance,speaker,great me too
hit:3421_conv:6843,utterance,listener,I hope you work hard going forward
hit:2273_conv:4546,situation,none,"My son just graduated from high school in the spring. It was a long and tough road, but he made it."
hit:2273_conv:4546,utterance,speaker,My just graduated from high school in the spring.
hit:2273_conv:4546,utterance,listener,Congrats! You must be excited to start your career.
hit:2273_conv:4546,utterance,speaker,"Yes I am! It was a long and tough road, but it's finally over!"
hit:2273_conv:4546,utterance,listener,I'm glad you stayed the course. There are a lot of big opportunities in store for you.
hit:9800_conv:19601,situation,none,"When I lost 20 pounds, I was very happy of my achievement."
hit:9800_conv:19601,utterance,speaker,"When I lost 20 pounds, I was very happy of my achievement."
hit:9800_conv:19601,utterance,listener,"I bet, that is a great achievment! Loosing weight is hard! Keeping it off is even harder."
hit:9800_conv:19601,utterance,speaker,"Yes, I know. It is very difficult for me to keep it off. I am trying very hard."
hit:9800_conv:19601,utterance,listener,You can do it! Keep up the hard work :)
hit:3553_conv:7107,situation,none,I lost 15 lbs!
hit:3553_conv:7107,utterance,speaker,I gained some weight when my wife was pregnant and now i finally lost 15 lbs. i feel great!
hit:3553_conv:7107,utterance,listener,"That is good, it can be easy to sink into a bad lifestyle with a kid or stressed wife"
hit:3553_conv:7107,utterance,speaker,"She wasn't really stressed , she had nausea and the only food she could eat is french fries and pizza so i was eating all that food as well"
hit:3553_conv:7107,utterance,listener,"That makes sense too, that is all I eat now, my metabolism may catch me one day, I need to make changes as well, but great for you losing the weight!"
hit:4666_conv:9332,situation,none,when i graduated because no one in my family did
hit:4666_conv:9332,utterance,speaker,"I was the first one to graduate out of my family, it was a great feeling."
hit:4666_conv:9332,utterance,listener,That is a great accomplishment!  You must be very proud!  Congratulations!
hit:4666_conv:9332,utterance,speaker,I am! Thank you! It was a special moment.
hit:4666_conv:9332,utterance,listener,Your family is most likely just as proud!
hit:318_conv:637,situation,none,"As I've gotten older I've learned to highly value my own culture and ethnic identity.  I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors.  I am from Royal Blood, the Maharlika meaning ""Chosen by the most high"".  I feel like my family and I are among the last ones."
hit:318_conv:637,utterance,speaker,"I am from Royal Filipino Blood, the ""Maharlika"" meaning Chosen by the most high. Even though my country's been degraded for centuries by greedy colonizers I'm still repping my royal kin so people know where I come from."
hit:318_conv:637,utterance,listener,I am a male.
hit:318_conv:637,utterance,speaker,Are you the one who ripped his pants
hit:318_conv:637,utterance,listener,I am Filipino also.
hit:318_conv:637,utterance,speaker,Oh that's cool.  Where are you from I'm from San Pedro Laguna
hit:7676_conv:15353,situation,none,"My wife wrote a really good article on networking.  I don't think it'll amount to anything, but I think she should get it published."
hit:7676_conv:15353,utterance,speaker,"My wife can write really well, and she just wrote this article on networking."
hit:7676_conv:15353,utterance,listener,I seem you must be quite proud of her for writing on such a subject.
hit:7676_conv:15353,utterance,speaker,"Yeah I read it and was super impressed.  I think she's great at it, and it should be published."
hit:7676_conv:15353,utterance,listener,"I agree, high quality work deserves to be read by a broader audience."
hit:7480_conv:14960,situation,none,When my bestfriend made the hockey team. He is good.
hit:7480_conv:14960,utterance,speaker,I'm so proud of my friend!
hit:7480_conv:14960,utterance,listener,oh why was that? did he/she do anything exceptionally?
hit:7480_conv:14960,utterance,speaker,"He made a hockey team, it was the A team!"
